pk	pn	lat	lon	link	tilecount_running_total	sketchfab_status	sketchfab_id	center_3857	other_sites_3857
C100	Platanos/Svina: Hab	36.785082	22.332831	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C100	121	OK	https://api.sketchfab.com/v3/models/6ca17f34b8d44c6d9031dd2cbfe303c2	[2486079.3748922343,4409192.178008258,922.060302734375]	
C1000	Geraki	36.995002	22.705196	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1000	242	OK	https://api.sketchfab.com/v3/models/87e69604e7164660b76268108b5bd1e6	[2527530.857081472,4438410.153400465,766.7605590820312]	
C1001	Vrondama	36.957291	22.624265	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1001	363	OK	https://api.sketchfab.com/v3/models/1d210bfbeb1d41b8a6a4399cfdcccbd0	[2518521.6593720815,4433155.374204249,165.3990936279297]	
C1002	Krokeai: Karneas	36.878793	22.548039	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1002	484	OK	https://api.sketchfab.com/v3/models/8df7da8c5c5f4484824b4b0c1c5b0bd1	[2510036.219866873,4422225.533718133,609.0548706054688]	
C1004	Samioti Magoula	37.325038	23.175883	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1004	605	OK	https://api.sketchfab.com/v3/models/a6b36aa8fbf144299e0a50eb54c25f5b	[2579927.4942444847,4484510.253436224,13.417719841003418]	
C1005	Flamboura Magoula	37.332493	23.169944	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1005	715	OK	https://api.sketchfab.com/v3/models/406a1de886a04f9a93fc9e75cc50bd1b	[2579266.367788664,4485553.914162931,65.64720153808594]	
C1006	Misi Kheliou #2	37.325277	23.134788	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1006	836	OK	https://api.sketchfab.com/v3/models/fcaf18fd180c44eab45706c09e92c310	[2575352.8197703357,4484543.710570518,47.51652526855469]	
C1007	Halieis	37.314915	23.152629	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1007	957	OK	https://api.sketchfab.com/v3/models/718d22c569f34072863423334f3410e7	[2577338.8708055783,4483093.252505439,9.967412948608398]	
C1008	Dhouroufi Ridge	37.391517	23.12562	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1008	1078	OK	https://api.sketchfab.com/v3/models/675841fad1104c159750fedd1873d893	[2574332.2426787433,4493820.62264717,211.02999877929688]	C1071:[2574575.364446636,4493345.79436228,201.04319763183594]
C1009	Melindra/Milindra	37.388909	23.171399	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1009	1198	OK	https://api.sketchfab.com/v3/models/d1dac0fed06f4e8387a4d7da3aa6ea70	[2579428.337647768,4493455.217330737,184.1350555419922]	
C101	Ayios Dhimitrios: Vigla	36.808851	22.297635	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C101	1319	OK	https://api.sketchfab.com/v3/models/291b679e03614f7d9a90ce01ffdffb50	[2482161.3740942744,4412496.467462743,43.083560943603516]	
C1010	Bardhounia	37.379759	23.165886	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1010	1440	OK	https://api.sketchfab.com/v3/models/511ecabd09d84cf6a06b6973cd06dcc7	[2578814.6332950247,4492173.31683603,279.5025939941406]	
C1011	Loutro/Ayios Andreas	37.402849	23.16565	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1011	1561	OK	https://api.sketchfab.com/v3/models/9476b119b33a4f9a94434be874cf6f23	[2578788.361895198,4495408.490022518,102.80719757080078]	C1070:[2578528.4308841955,4494841.246862324,246.1747283935547]
C1012	Profitis Ilias	37.395636	23.170807	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1012	1682	OK	https://api.sketchfab.com/v3/models/1abd872c539047279af3d4c78fc8f973	[2579362.436509219,4494397.759163153,656.18603515625]	
C1013	Ayios Athanasios	37.412922	23.179753	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1013	1803	OK	https://api.sketchfab.com/v3/models/3b0b7423727c48a3a0eae5289b50e2ce	[2580358.3006738555,4496820.144866743,192.1918487548828]	C1014:[2580888.9606864667,4496739.838154316,242.32215881347656]
C1014	Loutro NW	37.412349	23.18452	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1014	1924	OK	https://api.sketchfab.com/v3/models/11a1bfd12205461db8fa07cdf853504d	[2580888.9606864667,4496739.838154316,242.32215881347656]	C1013:[2580358.3006738555,4496820.144866743,192.1918487548828]
C1015	Ayios Nikolaos	37.387383	23.147423	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1015	2045	OK	https://api.sketchfab.com/v3/models/ecf8c99653e84af58aff23ed4cd24a40	[2576759.3415365084,4493241.416280509,154.29368591308594]	
C1016	To Milo	37.384712	23.154334	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1016	2177	OK	https://api.sketchfab.com/v3/models/7a802fb8c20a4231ac70ce3e57f80182	[2577528.6705373805,4492867.2048639,162.7357940673828]	
C1017	Pandeleika	37.391129	23.093133	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1017	2321	OK	https://api.sketchfab.com/v3/models/b5aff4f0b5ef48b984b861428c3f8003	[2570715.806381342,4493766.259394847,7.774400234222412]	
C1018	Korakia Promontory	37.362674	23.074283	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1018	2442	OK	https://api.sketchfab.com/v3/models/7b36a2255dcf4852b9cb0121796eaf9a	[2568617.4339798884,4489780.15400734,17.021982192993164]	
C1019	Yializa #2	37.344388	23.188502	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1019	2563	OK	https://api.sketchfab.com/v3/models/1e1b5ad5cb164872a851fd3789cea0e5	[2581332.2348988056,4487219.365989648,69.62079620361328]	
C102	Leuktra: Cem	36.843564	22.266054	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C102	2695	OK	https://api.sketchfab.com/v3/models/0896695a4f3647d68a472f8dc669dc6e	[2478645.793255532,4417323.999999371,69.97947692871094]	
C1020	Pikrodafni: Alona	37.372714	23.180513	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1020	2816	OK	https://api.sketchfab.com/v3/models/5a568b5bbdd042269cec3582bba596a0	[2580442.9034868586,4491186.43007148,228.5998992919922]	C1021:[2580728.660619725,4491241.900594892,197.82400512695312]|C1023:[2580693.2610216523,4491469.52891522,190.29237365722656]
C1021	Pikrodhafni: #3	37.37311	23.18308	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1021	2937	OK	https://api.sketchfab.com/v3/models/e53a8db28d7a48cc8e3154f98d6e1cab	[2580728.660619725,4491241.900594892,197.82400512695312]	C1020:[2580442.9034868586,4491186.43007148,228.5998992919922]|C1022:[2581242.845347699,4491076.470429795,199.70159912109375]|C1023:[2580693.2610216523,4491469.52891522,190.29237365722656]
C1022	Pikrodhafni #4	37.371929	23.187699	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1022	3058	OK	https://api.sketchfab.com/v3/models/f685cb717f5243478ac8026b5868ff38	[2581242.845347699,4491076.470429795,199.70159912109375]	C1021:[2580728.660619725,4491241.900594892,197.82400512695312]|C1023:[2580693.2610216523,4491469.52891522,190.29237365722656]
C1023	Pikrodhafni #5	37.374735	23.182762	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1023	3190	OK	https://api.sketchfab.com/v3/models/a3fea3e379084a269c38d122dc1f966c	[2580693.2610216523,4491469.52891522,190.29237365722656]	C1020:[2580442.9034868586,4491186.43007148,228.5998992919922]|C1021:[2580728.660619725,4491241.900594892,197.82400512695312]|C1022:[2581242.845347699,4491076.470429795,199.70159912109375]
C1024	Ayios Spiridhon	37.398106	23.107101	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1024	3311	OK	https://api.sketchfab.com/v3/models/5003789a9f5f490fa12b3a2ee345efb3	[2572270.717028742,4494743.8601229945,27.432100296020508]	
C1025	Lepitsa: Well	37.411399	23.111596	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1025	3432	OK	https://api.sketchfab.com/v3/models/bcbf25c0ad81406cbaa5c67de0c00d5e	[2572771.0981398583,4496606.695743788,6.145599842071533]	C1026:[2572949.6546030906,4496425.48462858,9.008255958557129]
C1026	Lepitsa: Quarry	37.410106	23.1132	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1026	3553	OK	https://api.sketchfab.com/v3/models/3693ccb52db949c8bc6b2d8edf399300	[2572949.6546030906,4496425.48462858,9.008255958557129]	C1025:[2572771.0981398583,4496606.695743788,6.145599842071533]
C1027	Khonia	37.417931	23.113971	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1027	3674	OK	https://api.sketchfab.com/v3/models/8b22a2ddfc5045f2aee1b63167582bfb	[2573035.481930492,4497522.189041323,54.6117057800293]	C1072:[2572791.0243287105,4497593.2510305345,30.322704315185547]
C1028	Windmill Ridge	37.41372	23.12209	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1028	3795	OK	https://api.sketchfab.com/v3/models/93025ceeac344ae0a461d44b4cd72a25	[2573939.2848762427,4496931.986652084,76.52799987792969]	
C1029	Magoula Evstratiou (Mases)	37.406885	23.141876	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1029	3916	OK	https://api.sketchfab.com/v3/models/872d9177df364e33971d0d4fcdcfdec0	[2576141.852321078,4495974.082140299,16.170259475708008]	
C103	Kastro of Kardamyli	36.892842	22.239139	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C103	4037	OK	https://api.sketchfab.com/v3/models/2b83d06692a94321a1cdbe8894aef9ce	[2475649.629160831,4424180.850681005,242.50399780273438]	
C1030	Vista	37.406325	23.128267	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1030	4169	OK	https://api.sketchfab.com/v3/models/0730f60fe2664fef8cf43bd230f5ff23	[2574626.905370873,4495895.603712882,46]	C1031:[2574866.576234551,4495271.160556946,67.9520034790039]
C1031	Koiladha: Prehistoric	37.401869	23.13042	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1031	4290	OK	https://api.sketchfab.com/v3/models/2c229eb43a654377b7d933e25ee56cc5	[2574866.576234551,4495271.160556946,67.9520034790039]	C1030:[2574626.905370873,4495895.603712882,46]
C1032	Temple Terrace	37.41768	23.141002	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1032	4411	OK	https://api.sketchfab.com/v3/models/30632c054d96495eade57423ac9d1bbf	[2576044.5590861253,4497487.008629041,8.271474838256836]	
C1033	Koukoudhi west	37.403244	23.114959	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1033	4521	OK	https://api.sketchfab.com/v3/models/4dfb113c780b446db93de75e0b57de08	[2573145.465587396,4495463.842712922,100.21119689941406]	
C1034	Field #1	37.457161	23.165726	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1034	4642	OK	https://api.sketchfab.com/v3/models/14b8571bf41e4f338d28e5b42cfc3ff4	[2578796.822176498,4503022.155556117,310.42718505859375]	
C1035	Thermisi Kastro	37.420906	23.303818	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1035	4763	OK	https://api.sketchfab.com/v3/models/23cdf018e12c4f6ea618e9de209e4acd	[2594169.1532991226,4497939.177012799,456.1888122558594]	
C1036	Kinetta	37.365776	23.226998	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1036	4884	OK	https://api.sketchfab.com/v3/models/97f60d8a307147dbb8aeffde7d4e39c9	[2585617.5900163837,4490214.622798331,2.0523879528045654]	
